Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,Overall_Rank,Class_Rank
Daan Gehlen,16,Herr,TriVäst,00:28:58,1738.7,ok,00:00:00,0.0,00:00:00,0.0,1,1
Jonas Örarbäck,35,Herr,Gäst,00:29:39,1779.3,ok,00:00:00,0.0,00:00:00,0.0,2,2
Jonathan Flod,24,Herr,TriVäst,00:29:40,1780.3,ok,00:00:00,0.0,00:00:00,0.0,3,3
Martin Flinta,31,Herr,Gäst,00:30:26,1826.7,ok,00:00:00,0.0,00:00:00,0.0,4,4
Hanna Csakvary,4,Dam,TriVäst,00:30:47,1847.7,ok,00:00:00,0.0,00:00:00,0.0,5,1
Josefine Flod,7,Dam,TriVäst,00:30:53,1853.3,ok,00:00:00,0.0,00:00:00,0.0,6,2
Henri Pesonen,32,Herr,Gäst,00:31:47,1907.1,ok,00:00:00,0.0,00:00:00,0.0,7,5
Fredrik Überbacher,20,Herr,TriVäst,00:33:02,1982.3,ok,00:00:00,0.0,00:00:00,0.0,8,6
Dimitrios Kiousis,17,Herr,Gäst,00:34:35,2076.0,ok,00:00:00,0.0,00:00:00,0.0,9,7
Jan Ljungcrantz,23,Herr,TriVäst,00:34:40,2080.3,ok,00:00:00,0.0,00:00:00,0.0,10,8
Agnes Uddenstig,1,Dam,TriVäst,00:34:54,2094.4,ok,00:00:00,0.0,00:00:00,0.0,11,3
Christoffer Alm,15,Herr,TriVäst,00:34:56,2096.2,ok,00:00:00,0.0,00:00:00,0.0,12,9
Ludvig Sylvan,25,Herr,TriVäst,00:35:49,2149.0,ok,00:00:00,0.0,00:00:00,0.0,13,10
Henning Christiansson,22,Herr,TriVäst,00:36:59,2219.3,ok,00:00:00,0.0,00:00:00,0.0,14,11
Amandine Durey,2,Dam,TriVäst,00:37:08,2228.8,ok,00:00:00,0.0,00:00:00,0.0,15,4
Michael Kossenjans,28,Herr,TriVäst,00:37:14,2234.7,ok,00:00:00,0.0,00:00:00,0.0,16,12
Thiébaut Schirmer,27,Herr,TriVäst,00:37:22,2242.5,ok,00:00:00,0.0,00:00:00,0.0,17,13
Linda Wahlin,10,Dam,TriVäst,00:38:07,2287.4,ok,00:00:00,0.0,00:00:00,0.0,18,5
Mathieu Lafond,34,Herr,Gäst,00:39:56,2396.6,ok,00:00:00,0.0,00:00:00,0.0,19,14
Teddie Heikkinen,30,Herr,TriVäst,00:40:41,2441.1,ok,00:00:00,0.0,00:00:00,0.0,20,15
Adnan Hrustic,14,Herr,TriVäst,00:41:44,2504.9,ok,00:00:00,0.0,00:00:00,0.0,21,16
Sofia Haglund,13,Dam,TriVäst,00:45:21,2721.6,ok,00:00:00,0.0,00:00:00,0.0,22,6
Lollo Samuelsson,11,Dam,TriVäst,00:45:47,2747.9,ok,00:00:00,0.0,00:00:00,0.0,23,7
Kornelia Krumkühler,9,Dam,TriVäst,00:47:08,2828.4,ok,00:00:00,0.0,00:00:00,0.0,24,8
Marie Löfgren,12,Dam,TriVäst,00:47:29,2849.1,ok,00:00:00,0.0,00:00:00,0.0,25,9
Katariina Seppänen,8,Dam,TriVäst,00:47:45,2866.0,ok,00:00:00,0.0,00:00:00,0.0,26,10
François Diana,19,Herr,TriVäst,00:51:13,3073.1,ok,00:00:00,0.0,00:00:00,0.0,27,17
Christina Uddenstig,3,Dam,TriVäst,00:51:52,3112.1,ok,00:00:00,0.0,00:00:00,0.0,28,11
Gunilla Kidmark,33,Dam,Gäst,00:54:45,3285.8,ok,00:00:00,0.0,00:00:00,0.0,29,12
