Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim1_Time,Swim1_Seconds,Run1_Time,Run1_Seconds,Swim2_Time,Swim2_Seconds,Run2_Time,Run2_Seconds,Overall_Rank,Class_Rank
Martin Flinta,3,Herr,TriVäst,00:27:12,1633.0,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,1,1
Henri Pesonen,1,Herr,Gäst,00:28:29,1709.0,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,2,2
Fredrik Überbacher,7,Herr,TriVäst,00:29:29,1769.4,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,3,3
Simon Flinta,9,Herr,TriVäst,00:29:41,1781.7,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,4,4
Joakim Fransson,5,Herr,Gäst,00:30:23,1823.2,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,5,5
Jonatan Hägerström,8,Herr,TriVäst,00:31:43,1903.6,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,6,6
Karl Wackerberg,4,Herr,TriVäst,00:33:32,2012.9,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,7,7
Jennifer Carter,13,Dam,TriVäst,00:33:37,2017.1,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,8,1
Ruud Kalis,10,Herr,Gäst,00:34:40,2080.2,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,9,8
Kajsa Holmes,15,Dam,TriVäst,00:37:06,2226.3,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,10,2
Sofia Haglund,14,Dam,Gäst,00:38:26,2307.0,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,11,3
Robert Sheppard,2,Herr,Gäst,00:38:33,2313.9,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,12,9
Tim Suits,6,Herr,TriVäst,00:41:45,2505.0,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,13,10
Alex Meyer,11,Herr,Gäst,00:41:45,2505.6,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,14,11
Rhona Cox,12,Dam,Gäst,00:47:51,2871.8,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,15,4
Kornelia Krumkühler,16,Dam,TriVäst,00:47:53,2873.7,ok,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,00:00:00,0.0,16,5
