Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,Overall_Rank,Class_Rank
Oskar Holmes,7,Herr,TriVäst,00:26:45,1605.5,ok,00:00:00,0.0,00:00:00,0.0,1,1
Daan Gehlen,6,Herr,TriVäst,00:27:00,1620.9,ok,00:00:00,0.0,00:00:00,0.0,2,2
Stijn van Weegberg,13,Herr,TriVäst,00:30:45,1845.7,ok,00:00:00,0.0,00:00:00,0.0,3,3
Marko Strube,12,Herr,TriVäst,00:31:02,1862.7,ok,00:00:00,0.0,00:00:00,0.0,4,4
Jonatan Hägerström,10,Herr,TriVäst,00:31:08,1868.1,ok,00:00:00,0.0,00:00:00,0.0,5,5
Fredrik Überbacher,9,Herr,TriVäst,00:31:18,1878.6,ok,00:00:00,0.0,00:00:00,0.0,6,6
Kajsa Holmes,15,Dam,TriVäst,00:31:28,1888.9,ok,00:00:00,0.0,00:00:00,0.0,7,1
Daniel Sastre,16,Herr,Gäst,00:31:35,1895.7,ok,00:00:00,0.0,00:00:00,0.0,8,7
Henri Pesonen,21,Herr,Gäst,00:31:59,1919.6,ok,00:00:00,0.0,00:00:00,0.0,9,8
Erik Arnström,20,Herr,Gäst,00:32:41,1961.3,ok,00:00:00,0.0,00:00:00,0.0,10,9
Emma Nilsson,19,Dam,TriVäst,00:33:14,1994.9,ok,00:00:00,0.0,00:00:00,0.0,11,2
Jennifer Carter,15,Dam,TriVäst,00:33:24,2004.6,ok,00:00:00,0.0,00:00:00,0.0,12,3
Michael Kossenjans,13,Herr,TriVäst,00:35:38,2138.8,ok,00:00:00,0.0,00:00:00,0.0,13,10
Christoffer Alm,23,Herr,TriVäst,00:35:42,2142.1,ok,00:00:00,0.0,00:00:00,0.0,14,11
Agnes Uddenstig,25,Dam,TriVäst,00:36:11,2171.0,ok,00:00:00,0.0,00:00:00,0.0,15,4
Fredrik Rosén,22,Herr,TriVäst,00:36:19,2179.4,ok,00:00:00,0.0,00:00:00,0.0,16,12
Peter Karlsson,17,Herr,TriVäst,00:36:37,2197.0,ok,00:00:00,0.0,00:00:00,0.0,17,13
Louise Bichler,17,Dam,TriVäst,00:36:43,2203.4,ok,00:00:00,0.0,00:00:00,0.0,18,5
Viktor Stenberg,2,Herr,TriVäst,00:37:04,2224.5,ok,00:00:00,0.0,00:00:00,0.0,19,14
Helena Jakobsson Larsson,19,Dam,Gäst,00:37:32,2252.5,ok,00:00:00,0.0,00:00:00,0.0,20,6
Stefan Artman,18,Herr,TriVäst,00:37:50,2270.0,ok,00:00:00,0.0,00:00:00,0.0,21,15
Marcelo Chiaverini,1,Herr,TriVäst,00:38:41,2321.2,ok,00:00:00,0.0,00:00:00,0.0,22,16
Marcel Escursell,14,Herr,TriVäst,00:38:49,2329.3,ok,00:00:00,0.0,00:00:00,0.0,23,17
Jennie Lindahl,20,Dam,TriVäst,00:39:26,2366.5,ok,00:00:00,0.0,00:00:00,0.0,24,7
Albéric Duriaux,4,Herr,TriVäst,00:41:53,2513.8,ok,00:00:00,0.0,00:00:00,0.0,25,18
Jeanette Ekvall,16,Dam,TriVäst,00:46:11,2771.1,ok,00:00:00,0.0,00:00:00,0.0,26,8
Kornelia Krumkühler,21,Dam,TriVäst,00:46:25,2785.4,ok,00:00:00,0.0,00:00:00,0.0,27,9
Ida Stjernkvist,14,Dam,TriVäst,00:46:25,2785.8,ok,00:00:00,0.0,00:00:00,0.0,28,10
Tobias Bäckström,24,Herr,TriVäst,00:46:48,2808.5,ok,00:00:00,0.0,00:00:00,0.0,29,19
