Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,Overall_Rank,Class_Rank
Oskar Holmes,0,Herr,TriVäst,00:28:45,1724.6,ok,00:00:00,0.0,00:00:00,0.0,1,1
Daan Gehlen,0,Herr,TriVäst,00:29:02,1741.7,ok,00:00:00,0.0,00:00:00,0.0,2,2
Peter Ljungberg,0,Herr,TriVäst,00:29:48,1788.2,ok,00:00:00,0.0,00:00:00,0.0,3,3
Pontus Petrelius Risberg,0,Herr,TriVäst,00:30:28,1827.8,ok,00:00:00,0.0,00:00:00,0.0,4,4
Stijn van Weegberg,0,Herr,TriVäst,00:30:32,1831.7,ok,00:00:00,0.0,00:00:00,0.0,5,5
Karl Wackerberg,0,Herr,TriVäst,00:30:50,1850.4,ok,00:00:00,0.0,00:00:00,0.0,6,6
Jonas Örarbäck,0,Herr,TriVäst,00:30:59,1859.1,ok,00:00:00,0.0,00:00:00,0.0,7,7
Jonathan Flod,0,Herr,TriVäst,00:31:15,1875.4,ok,00:00:00,0.0,00:00:00,0.0,8,8
Jonatan Hägerström,0,Herr,TriVäst,00:31:25,1884.9,ok,00:00:00,0.0,00:00:00,0.0,9,9
Maria Ernsfors,0,Dam,TriVäst,00:32:17,1936.7,ok,00:00:00,0.0,00:00:00,0.0,10,1
Nicole Pelin,0,Dam,TriVäst,00:32:20,1940.0,ok,00:00:00,0.0,00:00:00,0.0,11,2
Göran Hilmersson,0,Herr,Gäst,00:33:37,2017.4,ok,00:00:00,0.0,00:00:00,0.0,12,10
Kajsa Holmes,0,Dam,TriVäst,00:34:06,2046.2,ok,00:00:00,0.0,00:00:00,0.0,13,3
Hanna Csakvary,0,Dam,TriVäst,00:34:09,2048.6,ok,00:00:00,0.0,00:00:00,0.0,14,4
Emma Nilsson,0,Dam,TriVäst,00:34:12,2051.8,ok,00:00:00,0.0,00:00:00,0.0,15,5
Josefine Flod,0,Dam,TriVäst,00:35:10,2110.4,ok,00:00:00,0.0,00:00:00,0.0,16,6
Amandine Durey,0,Dam,TriVäst,00:36:15,2175.2,ok,00:00:00,0.0,00:00:00,0.0,17,7
Michael Kossenjans,0,Herr,TriVäst,00:36:32,2191.8,ok,00:00:00,0.0,00:00:00,0.0,18,11
Agnes Uddenstig,0,Dam,TriVäst,00:36:43,2202.9,ok,00:00:00,0.0,00:00:00,0.0,19,8
Henning Christiansson,0,Herr,TriVäst,00:36:47,2206.8,ok,00:00:00,0.0,00:00:00,0.0,20,12
Christoffer Alm,0,Herr,TriVäst,00:37:16,2236.1,ok,00:00:00,0.0,00:00:00,0.0,21,13
Stefan Hillerstig,0,Herr,TriVäst,00:37:39,2259.2,ok,00:00:00,0.0,00:00:00,0.0,22,14
My Forsberg,0,Dam,TriVäst,00:37:54,2274.1,ok,00:00:00,0.0,00:00:00,0.0,23,9
Elina Kiviniemi,0,Dam,TriVäst,00:38:00,2279.7,ok,00:00:00,0.0,00:00:00,0.0,24,10
Jan Ljungcrantz,0,Herr,TriVäst,00:38:27,2307.2,ok,00:00:00,0.0,00:00:00,0.0,25,15
Johan Ekbäck,0,Herr,TriVäst,00:41:27,2487.0,ok,00:00:00,0.0,00:00:00,0.0,26,16
Adnan Hrustic,0,Herr,TriVäst,00:41:57,2517.1,ok,00:00:00,0.0,00:00:00,0.0,27,17
Richard Karlsson,0,Herr,TriVäst,00:42:23,2542.7,ok,00:00:00,0.0,00:00:00,0.0,28,18
Kornelia Krumkühler,0,Dam,TriVäst,00:43:50,2629.8,ok,00:00:00,0.0,00:00:00,0.0,29,11
Albéric Duriaux,0,Herr,TriVäst,00:44:21,2661.0,ok,00:00:00,0.0,00:00:00,0.0,30,19
Thiébaut Schirmer,0,Herr,TriVäst,00:44:44,2683.8,ok,00:00:00,0.0,00:00:00,0.0,31,20
Ronny Rosén,0,Herr,TriVäst,00:44:53,2692.7,ok,00:00:00,0.0,00:00:00,0.0,32,21
Ida Stjernkvist,0,Dam,TriVäst,00:45:12,2712.0,ok,00:00:00,0.0,00:00:00,0.0,33,12
Jeanette Ekvall,0,Dam,TriVäst,00:45:54,2754.2,ok,00:00:00,0.0,00:00:00,0.0,34,13
Anna Peny Friberg,0,Dam,TriVäst,00:46:13,2772.8,ok,00:00:00,0.0,00:00:00,0.0,35,14
