Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,Overall_Rank,Class_Rank
Harry Engel,39,Barn 0-10,TriVäst,00:03:24,204.5,ok,00:00:00,0,00:00:00,0,,1
Alexander Berggren,14,Man,Gäst,00:23:48,1428.7,ok,00:00:00,0,00:00:00,0,1,1
Stefano Bonaglia,35,Man,TriVäst,00:29:27,1767.1,ok,00:00:00,0,00:00:00,0,2,2
Daan Gehlen,16,Man,TriVäst,00:29:33,1773.3,ok,00:00:00,0,00:00:00,0,3,3
André du Rietz,37,Man,TriVäst,00:29:39,1779.8,ok,00:00:00,0,00:00:00,0,4,4
Peter Ljungberg,31,Man,TriVäst,00:29:53,1793.7,ok,00:00:00,0,00:00:00,0,5,5
Simon Flinta,38,Barn 10+,TriVäst,00:30:39,1839.4,ok,00:00:00,0,00:00:00,0,,1
Kajsa Holmes,6,Kvinna,TriVäst,00:30:41,1841.5,ok,00:00:00,0,00:00:00,0,6,1
Pontus Petrelius Risberg,32,Man,TriVäst,00:30:43,1843.2,ok,00:00:00,0,00:00:00,0,7,6
Jonatan Hägerström,25,Man,TriVäst,00:32:07,1927.4,ok,00:00:00,0,00:00:00,0,8,7
Emma Nilsson,2,Kvinna,TriVäst,00:32:18,1938.9,ok,00:00:00,0,00:00:00,0,9,2
Marcelo Chiaverini,28,Man,TriVäst,00:33:25,2005.2,ok,00:00:00,0,00:00:00,0,10,8
Göran Hilmersson,22,Man,TriVäst,00:33:30,2010.7,ok,00:00:00,0,00:00:00,0,11,9
David Engel,17,Man,TriVäst,00:33:32,2012.7,ok,00:00:00,0,00:00:00,0,12,10
Erik Arnström,19,Man,Gäst,00:33:33,2013.7,ok,00:00:00,0,00:00:00,0,13,11
Michael Kossenjans,30,Man,TriVäst,00:36:26,2186.8,ok,00:00:00,0,00:00:00,0,14,12
Henning Christiansson,23,Man,TriVäst,00:36:43,2203.1,ok,00:00:00,0,00:00:00,0,15,13
Melvin Johansson,29,Man,TriVäst,00:36:53,2213.6,ok,00:00:00,0,00:00:00,0,16,14
Jan Ljungcrantz,24,Man,TriVäst,00:37:01,2221.4,ok,00:00:00,0,00:00:00,0,17,15
Anton Söfting,15,Man,TriVäst,00:37:08,2228.1,ok,00:00:00,0,00:00:00,0,18,16
Karl Wackerberg,26,Man,TriVäst,00:37:30,2250.8,ok,00:00:00,0,00:00:00,0,19,17
Samuel Karlsson,34,Man,TriVäst,00:37:43,2263.5,ok,00:00:00,0,00:00:00,0,20,18
Tim Suits,36,Man,TriVäst,00:38:57,2337.5,ok,00:00:00,0,00:00:00,0,21,19
Elias Wennersten,18,Man,TriVäst,00:39:18,2358.2,ok,00:00:00,0,00:00:00,0,22,20
Helena Jakobsson Larsson,3,Kvinna,Gäst,00:39:40,2380.6,ok,00:00:00,0,00:00:00,0,23,3
Rasmus Johansson,33,Man,TriVäst,00:39:50,2390.9,ok,00:00:00,0,00:00:00,0,24,21
Stina Haglund,13,Kvinna,TriVäst,00:40:58,2459.0,ok,00:00:00,0,00:00:00,0,25,4
Maria Ljungberg,9,Kvinna,TriVäst,00:41:05,2465.8,ok,00:00:00,0,00:00:00,0,26,5
Sofia Haglund,12,Kvinna,TriVäst,00:42:41,2561.2,ok,00:00:00,0,00:00:00,0,27,6
Marie Löfgren,10,Kvinna,TriVäst,00:42:44,2564.5,ok,00:00:00,0,00:00:00,0,28,7
Maja Andersson,8,Kvinna,TriVäst,00:42:51,2572.0,ok,00:00:00,0,00:00:00,0,29,8
Johanna Karlsson,5,Kvinna,TriVäst,00:43:58,2638.8,ok,00:00:00,0,00:00:00,0,30,9
Kornelia Krumkühler,7,Kvinna,TriVäst,00:47:11,2831.2,ok,00:00:00,0,00:00:00,0,31,10
Ida Stjernkvist,4,Kvinna,TriVäst,00:47:11,2831.9,ok,00:00:00,0,00:00:00,0,32,11
Miriam Degerman,11,Kvinna,TriVäst,00:47:23,2843.2,ok,00:00:00,0,00:00:00,0,33,12
Gillis Magnusson,21,Man,TriVäst,00:47:30,2850.2,ok,00:00:00,0,00:00:00,0,34,22
Amanda Hadenius,1,Kvinna,TriVäst,00:48:11,2891.9,ok,00:00:00,0,00:00:00,0,35,13
Lars Jacobsen,27,Man,TriVäst,00:48:45,2925.4,ok,00:00:00,0,00:00:00,0,36,23
François Diana,20,Man,TriVäst,00:53:42,3222.4,ok,00:00:00,0,00:00:00,0,37,24
